TEAM_NAME,GP,W_PCT,PLUS_MINUS,SEASON
Atlanta Hawks,82,0.439,-179.0,2023-24
Boston Celtics,82,0.78,930.0,2023-24
Brooklyn Nets,82,0.39,-237.0,2023-24
Charlotte Hornets,82,0.256,-840.0,2023-24
Chicago Bulls,82,0.476,-118.0,2023-24
Cleveland Cavaliers,82,0.585,198.0,2023-24
Dallas Mavericks,82,0.61,181.0,2023-24
Denver Nuggets,82,0.695,431.0,2023-24
Detroit Pistons,82,0.171,-747.0,2023-24
Golden State Warriors,82,0.561,214.0,2023-24
Houston Rockets,82,0.5,92.0,2023-24
Indiana Pacers,82,0.573,250.0,2023-24
LA Clippers,82,0.622,269.0,2023-24
Los Angeles Lakers,82,0.573,49.0,2023-24
Memphis Grizzlies,82,0.329,-574.0,2023-24
Miami Heat,82,0.561,144.0,2023-24
Milwaukee Bucks,82,0.598,215.0,2023-24
Minnesota Timberwolves,82,0.683,529.0,2023-24
New Orleans Pelicans,82,0.598,362.0,2023-24
New York Knicks,82,0.61,376.0,2023-24
Oklahoma City Thunder,82,0.695,608.0,2023-24
Orlando Magic,82,0.573,166.0,2023-24
Philadelphia 76ers,82,0.573,250.0,2023-24
Phoenix Suns,82,0.598,251.0,2023-24
Portland Trail Blazers,82,0.256,-740.0,2023-24
Sacramento Kings,82,0.561,143.0,2023-24
San Antonio Spurs,82,0.268,-532.0,2023-24
Toronto Raptors,82,0.305,-528.0,2023-24
Utah Jazz,82,0.378,-401.0,2023-24
Washington Wizards,82,0.183,-762.0,2023-24
Atlanta Hawks,82,0.488,-93.0,2024-25
Boston Celtics,82,0.744,747.0,2024-25
Brooklyn Nets,82,0.317,-583.0,2024-25
Charlotte Hornets,82,0.232,-747.0,2024-25
Chicago Bulls,82,0.476,-128.0,2024-25
Cleveland Cavaliers,82,0.78,782.0,2024-25
Dallas Mavericks,82,0.476,-98.0,2024-25
Denver Nuggets,82,0.61,319.0,2024-25
Detroit Pistons,82,0.537,156.0,2024-25
Golden State Warriors,82,0.585,271.0,2024-25
Houston Rockets,82,0.634,370.0,2024-25
Indiana Pacers,82,0.61,183.0,2024-25
LA Clippers,82,0.61,382.0,2024-25
Los Angeles Lakers,82,0.61,100.0,2024-25
Memphis Grizzlies,82,0.585,398.0,2024-25
Miami Heat,82,0.451,46.0,2024-25
Milwaukee Bucks,82,0.585,203.0,2024-25
Minnesota Timberwolves,82,0.598,410.0,2024-25
New Orleans Pelicans,82,0.256,-773.0,2024-25
New York Knicks,82,0.622,336.0,2024-25
Oklahoma City Thunder,82,0.829,1055.0,2024-25
Orlando Magic,82,0.5,-10.0,2024-25
Philadelphia 76ers,82,0.293,-511.0,2024-25
Phoenix Suns,82,0.439,-246.0,2024-25
Portland Trail Blazers,82,0.439,-244.0,2024-25
Sacramento Kings,82,0.488,39.0,2024-25
San Antonio Spurs,82,0.415,-226.0,2024-25
Toronto Raptors,82,0.366,-352.0,2024-25
Utah Jazz,82,0.207,-766.0,2024-25
Washington Wizards,82,0.22,-1020.0,2024-25
Atlanta Hawks,21,0.619,49.0,2025-26
Boston Celtics,20,0.55,80.0,2025-26
Brooklyn Nets,19,0.158,-207.0,2025-26
Charlotte Hornets,20,0.3,-86.0,2025-26
Chicago Bulls,19,0.474,-59.0,2025-26
Cleveland Cavaliers,21,0.571,67.0,2025-26
Dallas Mavericks,21,0.286,-119.0,2025-26
Denver Nuggets,19,0.737,185.0,2025-26
Detroit Pistons,20,0.8,116.0,2025-26
Golden State Warriors,21,0.524,20.0,2025-26
Houston Rockets,17,0.765,199.0,2025-26
Indiana Pacers,20,0.2,-177.0,2025-26
LA Clippers,20,0.25,-118.0,2025-26
Los Angeles Lakers,18,0.778,69.0,2025-26
Memphis Grizzlies,20,0.4,-74.0,2025-26
Miami Heat,20,0.65,107.0,2025-26
Milwaukee Bucks,21,0.429,-46.0,2025-26
Minnesota Timberwolves,20,0.6,101.0,2025-26
New Orleans Pelicans,20,0.15,-217.0,2025-26
New York Knicks,19,0.684,142.0,2025-26
Oklahoma City Thunder,21,0.952,325.0,2025-26
Orlando Magic,20,0.6,104.0,2025-26
Philadelphia 76ers,19,0.526,-13.0,2025-26
Phoenix Suns,21,0.571,57.0,2025-26
Portland Trail Blazers,20,0.4,-58.0,2025-26
Sacramento Kings,20,0.25,-226.0,2025-26
San Antonio Spurs,19,0.684,100.0,2025-26
Toronto Raptors,21,0.667,98.0,2025-26
Utah Jazz,19,0.316,-146.0,2025-26
Washington Wizards,18,0.111,-273.0,2025-26
